deptno,deptname,empno,firstname,lastname,edlevel,job
A00,"SPIFFY COMPUTER SERVICE DIV.",000010,CHRISTINE,HAAS,18,PRES
A00,"SPIFFY COMPUTER SERVICE DIV.",200120,GREG,ORLANDO,14,CLERK
A00,"SPIFFY COMPUTER SERVICE DIV.",200010,DIAN,HEMMINGER,18,SALESREP
A00,"SPIFFY COMPUTER SERVICE DIV.",000110,VINCENZO,LUCCHESST,19,SALESREP
A00,"SPIFFY COMPUTER SERVICE DIV.",000120,SEAN,OCONNELL,14,CLERK
B01,PLANNING,000020,MICHAEL,THOMPSON,18,MANAGER
C01,"INFORMATION CENTER",000030,SALLY,KWAN,20,MANAGER
C01,"INFORMATION CENTER",000130,DELORES,QUINANA,16,ANALYSIST
C01,"INFORMATION CENTER",000140,HEATHER,NiCHOLLS,18,ANALYSIST
C01,"INFORMATION CENTER",200140,KIM,NATZ,18,ANALYSIST
D11,"MANUFACTURING SYSTEMS",000060,IRVING,STERN,16,MANAGER
D11,"MANUFACTURING SYSTEMS",200220,REBA,JOHN,18,DESIGNER
D11,"MANUFACTURING SYSTEMS",000220,JENNIFFR,LUTZ,18,DESIGNER
D11,"MANUFACTURING SYSTEMS",000150,BRUCE,ADAMSON,16,DESIGNER
D11,"MANUFACTURING SYSTEMS",000160,ELEZABETH,PINKA,17,DESIGNER
D11,"MANUFACTURING SYSTEMS",000170,MASAIOSHI,YOSHIMURA,16,DESIGNER
D11,"MANUFACTURING SYSTEMS",000180,MARTIYN,SCOUTTFN,17,DESIGNER
D11,"MANUFACTURING SYSTEMS",000190,JAMES,WALKER,16,DESIGNER
D11,"MANUFACTURING SYSTEMS",000200,DAVID,BROWN,16,DESIGNER
D11,"MANUFACTURING SYSTEMS",000210,WILLIAM,JONES,17,DESIGNER
D11,"MANUFACTURING SYSTEMS",200170,KIYOSHI,YAMAMOTO,16,DESIGNER
D21,"ADMINISTRATION SYSTEMS",000240,SALVATORE,MARINO,17,CLERK
D21,"ADMINISTRATION SYSTEMS",000250,DANIEL,SMITH,15,CLERK
D21,"ADMINISTRATION SYSTEMS",000260,SYBIL,JOHNSON,16,CLERK
D21,"ADMINISTRATION SYSTEMS",000270,MARIA,PEREZ,15,CLERK
D21,"ADMINISTRATION SYSTEMS",000070,EVA,PULASKI,16,MANAGER
D21,"ADMINISTRATION SYSTEMS",000230,JAMES,JEFFERSON,14,CLERK
D21,"ADMINISTRATION SYSTEMS",200240,ROBERT,MONTEVERDE,17,CLERK
E01,"SUPPORT SERVICES",000050,JOHN,GEYER,16,MANAGER
E11,OPERATIONS,000310,MAUDE,SETRIGHT,12,OPERATOR
E11,OPERATIONS,000090,EILEEN,HENDERSON,16,MANAGER
E11,OPERATIONS,000280,ETHEL,SCHNEIDER,17,OPERATOR
E11,OPERATIONS,000290,JOHN,PARKER,12,OPERATOR
E11,OPERATIONS,000300,PHILIP,SMITH,14,OPERATOR
E11,OPERATIONS,200280,EILLEEN,SCHWARTZ,17,OPERATOR
E11,OPERATIONS,200310,MICHELLE,SPRINGER,12,OPERATOR
E21,"SOFTWARE SUPPORT",000320,RAMLAL,MEHTA,16,FEILDREP
E21,"SOFTWARE SUPPORT",000330,WING,IFF,14,FEILDREP
E21,"SOFTWARE SUPPORT",000100,THOEDORE,SPENSER,14,MANAGER
E21,"SOFTWARE SUPPORT",000340,JASON,GOUNOT,16,FEILDREP
E21,"SOFTWARE SUPPORT",200330,HELENA,WONG,14,FEILDREP
E21,"SOFTWARE SUPPORT",200340,ROY,ALONZO,16,FEILDREP
