lastname,firstname,deptname
PULASKI,EVA,"ADMINISTRATION SYSTEMS"
MARINO,SALVATORE,"ADMINISTRATION SYSTEMS"
JEFFERSON,JAMES,"ADMINISTRATION SYSTEMS"
MONTEVERDE,ROBERT,"ADMINISTRATION SYSTEMS"
PEREZ,MARIA,"ADMINISTRATION SYSTEMS"
JOHNSON,SYBIL,"ADMINISTRATION SYSTEMS"
SMITH,DANIEL,"ADMINISTRATION SYSTEMS"
NiCHOLLS,HEATHER,"INFORMATION CENTER"
KWAN,SALLY,"INFORMATION CENTER"
QUINANA,DELORES,"INFORMATION CENTER"
NATZ,KIM,"INFORMATION CENTER"
JOHN,REBA,"MANUFACTURING SYSTEMS"
YAMAMOTO,KIYOSHI,"MANUFACTURING SYSTEMS"
STERN,IRVING,"MANUFACTURING SYSTEMS"
ADAMSON,BRUCE,"MANUFACTURING SYSTEMS"
PINKA,ELEZABETH,"MANUFACTURING SYSTEMS"
YOSHIMURA,MASAIOSHI,"MANUFACTURING SYSTEMS"
SCOUTTFN,MARTIYN,"MANUFACTURING SYSTEMS"
BROWN,DAVID,"MANUFACTURING SYSTEMS"
JONES,WILLIAM,"MANUFACTURING SYSTEMS"
LUTZ,JENNIFFR,"MANUFACTURING SYSTEMS"
WALKER,JAMES,"MANUFACTURING SYSTEMS"
SCHNEIDER,ETHEL,OPERATIONS
PARKER,JOHN,OPERATIONS
SMITH,PHILIP,OPERATIONS
SETRIGHT,MAUDE,OPERATIONS
HENDERSON,EILEEN,OPERATIONS
SCHWARTZ,EILLEEN,OPERATIONS
SPRINGER,MICHELLE,OPERATIONS
THOMPSON,MICHAEL,PLANNING
MEHTA,RAMLAL,"SOFTWARE SUPPORT"
IFF,WING,"SOFTWARE SUPPORT"
SPENSER,THOEDORE,"SOFTWARE SUPPORT"
GOUNOT,JASON,"SOFTWARE SUPPORT"
WONG,HELENA,"SOFTWARE SUPPORT"
ALONZO,ROY,"SOFTWARE SUPPORT"
LUCCHESST,VINCENZO,"SPIFFY COMPUTER SERVICE DIV."
HAAS,CHRISTINE,"SPIFFY COMPUTER SERVICE DIV."
HEMMINGER,DIAN,"SPIFFY COMPUTER SERVICE DIV."
ORLANDO,GREG,"SPIFFY COMPUTER SERVICE DIV."
OCONNELL,SEAN,"SPIFFY COMPUTER SERVICE DIV."
GEYER,JOHN,"SUPPORT SERVICES"
