lastname,firstname,job,deptname
SMITH,DANIEL,CLERK,"ADMINISTRATION SYSTEMS"
JEFFERSON,JAMES,CLERK,"ADMINISTRATION SYSTEMS"
PEREZ,MARIA,CLERK,"ADMINISTRATION SYSTEMS"
MONTEVERDE,ROBERT,CLERK,"ADMINISTRATION SYSTEMS"
MARINO,SALVATORE,CLERK,"ADMINISTRATION SYSTEMS"
JOHNSON,SYBIL,CLERK,"ADMINISTRATION SYSTEMS"
QUINANA,DELORES,ANALYSIST,"INFORMATION CENTER"
NiCHOLLS,HEATHER,ANALYSIST,"INFORMATION CENTER"
NATZ,KIM,ANALYSIST,"INFORMATION CENTER"
ADAMSON,BRUCE,DESIGNER,"MANUFACTURING SYSTEMS"
BROWN,DAVID,DESIGNER,"MANUFACTURING SYSTEMS"
PINKA,ELEZABETH,DESIGNER,"MANUFACTURING SYSTEMS"
WALKER,JAMES,DESIGNER,"MANUFACTURING SYSTEMS"
LUTZ,JENNIFFR,DESIGNER,"MANUFACTURING SYSTEMS"
YAMAMOTO,KIYOSHI,DESIGNER,"MANUFACTURING SYSTEMS"
SCOUTTFN,MARTIYN,DESIGNER,"MANUFACTURING SYSTEMS"
YOSHIMURA,MASAIOSHI,DESIGNER,"MANUFACTURING SYSTEMS"
JOHN,REBA,DESIGNER,"MANUFACTURING SYSTEMS"
JONES,WILLIAM,DESIGNER,"MANUFACTURING SYSTEMS"
