projno,projname,empno,lastname,actno
IF2000,"USER EDUCATION",000140,NiCHOLLS,10
AD3113,"ACCOUNT PROGRAMMING",000270,PEREZ,60
MA2112,"W L ROBOT DESIGN",000170,YOSHIMURA,60
AD3113,"ACCOUNT PROGRAMMING",000260,JOHNSON,70
AD3113,"ACCOUNT PROGRAMMING",000270,PEREZ,70
MA2112,"W L ROBOT DESIGN",000170,YOSHIMURA,70
AD3113,"ACCOUNT PROGRAMMING",000260,JOHNSON,80
AD3113,"ACCOUNT PROGRAMMING",000270,PEREZ,80
IF2000,"USER EDUCATION",000140,NiCHOLLS,100
IF2000,"USER EDUCATION",000140,NiCHOLLS,110
AD3113,"ACCOUNT PROGRAMMING",000260,JOHNSON,180
MA2112,"W L ROBOT DESIGN",000150,ADAMSON,180
MA2112,"W L ROBOT DESIGN",000190,WALKER,180
