empno,lastname,birthdate,salary
000200,BROWN,1971-05-29,577040.00
000010,HAAS,1963-08-24,152750.00
000030,KWAN,1971-05-11,98250.00
000070,PULASKI,2003-05-26,96170.00
000020,THOMPSON,1978-02-02,94250.00
000090,HENDERSON,1971-05-15,89750.00
000100,SPENSER,1980-12-18,86150.00
000050,GEYER,1955-09-15,80175.00
000130,QUINANA,1955-09-15,73800.00
000060,STERN,1975-07-07,72250.00
200220,JOHN,1978-03-19,69840.00
000140,NiCHOLLS,1976-01-19,68420.00
200140,NATZ,1976-01-19,68420.00
000210,JONES,2003-02-23,68270.00
000110,LUCCHESST,1959-11-15,66500.00
200170,YAMAMOTO,1981-01-05,64680.00
000160,PINKA,1980-04-12,62250.00
000150,ADAMSON,1977-05-17,55280.00
000180,SCOUTTFN,1979-02-21,51340.00
000190,WALKER,1982-02-25,50450.00
000220,LUTZ,1978-03-17,49840.00
000120,OCONNELL,1972-10-18,49250.00
000250,SMITH,1967-11-12,49180.00
000240,MARINO,2002-03-31,48760.00
200010,HEMMINGER,1973-08-14,46500.00
200280,SCHWARTZ,1966-03-28,46250.00
000330,IFF,1971-07-18,45370.00
000170,YOSHIMURA,1981-01-05,44680.00
000340,GOUNOT,1956-05-17,43840.00
000230,JEFFERSON,1980-05-30,42180.00
000320,MEHTA,1962-08-11,39950.00
200120,ORLANDO,1972-10-18,39250.00
200240,MONTEVERDE,1984-03-31,37760.00
000300,SMITH,1976-01-27,37750.00
000270,PEREZ,2003-05-26,37380.00
000280,SCHNEIDER,1976-03-28,36250.00
000310,SETRIGHT,1961-04-21,35900.00
200310,SPRINGER,1961-04-21,35900.00
200330,WONG,1971-07-18,35370.00
000290,PARKER,1985-07-09,35340.00
200340,ALONZO,1956-05-17,31840.00
