empno,lastname,salary,bonus
000260,JOHNSON,4725.00,300.00
000290,PARKER,35340.00,300.00
000310,SETRIGHT,35900.00,300.00
200310,SPRINGER,35900.00,300.00
000160,PINKA,62250.00,400.00
000190,WALKER,50450.00,400.00
000210,JONES,68270.00,400.00
000230,JEFFERSON,42180.00,400.00
000250,SMITH,49180.00,400.00
000300,SMITH,37750.00,400.00
000320,MEHTA,39950.00,400.00
000060,STERN,72250.00,500.00
000100,SPENSER,86150.00,500.00
000150,ADAMSON,55280.00,500.00
000170,YOSHIMURA,44680.00,500.00
000180,SCOUTTFN,51340.00,500.00
000270,PEREZ,37380.00,500.00
000280,SCHNEIDER,36250.00,500.00
000330,IFF,45370.00,500.00
000340,GOUNOT,43840.00,500.00
200170,YAMAMOTO,64680.00,500.00
200280,SCHWARTZ,46250.00,500.00
200330,WONG,35370.00,500.00
200340,ALONZO,31840.00,500.00
000090,HENDERSON,89750.00,600.00
000120,OCONNELL,49250.00,600.00
000140,NiCHOLLS,68420.00,600.00
000200,BROWN,577040.00,600.00
000220,LUTZ,49840.00,600.00
000240,MARINO,48760.00,600.00
200120,ORLANDO,39250.00,600.00
200220,JOHN,69840.00,600.00
200240,MONTEVERDE,37760.00,600.00
000070,PULASKI,96170.00,700.00
000020,THOMPSON,94250.00,800.00
000030,KWAN,98250.00,800.00
000050,GEYER,80175.00,800.00
000110,LUCCHESST,66500.00,900.00
000010,HAAS,152750.00,1000.00
200010,HEMMINGER,46500.00,1000.00
